,bookname,Author and publication,Rating,Reviewers,Link,Photo,Genre
108,慶餘年 貳部曲 13 微服私行,貓膩 / 紫宸社 / 2009-12-7,8.1,119,https://book.douban.com/subject/5984995/,https://img9.doubanio.com/view/subject/s/public/s4640965.jpg,穿越
109,意林少女温暖贺岁系列,沧海·镜 / 吉林摄影出版社 / 2012-12 / 19.90元,8.1,109,https://book.douban.com/subject/20484106/,https://img9.doubanio.com/view/subject/s/public/s24936214.jpg,穿越
110,窃明6,灰熊猫 / 长征出版社 / 2009-3 / 29.80元,8.1,448,https://book.douban.com/subject/3608327/,https://img9.doubanio.com/view/subject/s/public/s5999349.jpg,穿越
111,重生于康熙末年（一） : 转流年,雁九 / 黄山书社 / 2009-3 / 26.80元,8.1,322,https://book.douban.com/subject/3561593/,https://img9.doubanio.com/view/subject/s/public/s4585954.jpg,穿越
112,天定风华6·笑凭阑（上下）,天下归元 / 江苏文艺出版社 / 2014-7 / 59.80元,8.1,382,https://book.douban.com/subject/25908432/,https://img9.doubanio.com/view/subject/s/public/s27305787.jpg,穿越
113,慶餘年 參部曲 1 京亂之後,貓膩 / 紫宸社 / 2010-1-9,8.1,135,https://book.douban.com/subject/5984999/,https://img9.doubanio.com/view/subject/s/public/s4640971.jpg,穿越
114,復生 上 : 睚毗必报,愛爬樹的魚 / 藍襪子出版社 / 2010-3-30 / 210,8.1,149,https://book.douban.com/subject/5948763/,https://img9.doubanio.com/view/subject/s/public/s4612138.jpg,穿越
115,窃明4,灰熊猫 / 长征出版社 / 2008-10 / 29.8,8.1,476,https://book.douban.com/subject/3249938/,https://img9.doubanio.com/view/subject/s/public/s3316977.jpg,穿越
116,步步惊心,桐华 / 民族出版社 / 2006-6 / 25.00元,8.1,55497,https://book.douban.com/subject/1812439/,https://img9.doubanio.com/view/subject/s/public/s1681146.jpg,穿越
117,復生 下,愛爬樹的魚 / 藍襪子出版社 / 2010-3-30 / 210,8.0,119,https://book.douban.com/subject/5948761/,https://img9.doubanio.com/view/subject/s/public/s4612136.jpg,穿越
118,庆余年·壹 : 天下权臣宝典,猫腻 / 中国友谊出版公司 / 2008-7 / 28.00元,8.0,18196,https://book.douban.com/subject/3155622/,https://img9.doubanio.com/view/subject/s/public/s3207456.jpg,穿越
119,法老的寵妃3·卡疊石之戰,悠世 / 耕林出版文化事業 / 2007-12 / NT$ 149,8.0,348,https://book.douban.com/subject/3233389/,https://img9.doubanio.com/view/subject/s/public/s3281274.jpg,穿越
120,寻秦记1,黄易 / 云南出版集团公司，云南人民出版社 / 2009-4 / 26.00元,8.0,370,https://book.douban.com/subject/3671738/,https://img9.doubanio.com/view/subject/s/public/s3727728.jpg,穿越
121,窃明5,灰熊猫 / 长征出版社 / 2008-10 / 29.80元,8.0,487,https://book.douban.com/subject/3255919/,https://img9.doubanio.com/view/subject/s/public/s5951684.jpg,穿越
122,凤囚凰（下）,天衣有风 / 河南文艺出版社 / 2009-5-1 / 25.00元,8.0,13167,https://book.douban.com/subject/3710879/,https://img9.doubanio.com/view/subject/s/public/s24550983.jpg,穿越
123,篡清3·不一样的甲午（上下）,天使奥斯卡 / 太白文艺出版社 / 2009-9 / 49.80,8.0,186,https://book.douban.com/subject/4023238/,https://img9.doubanio.com/view/subject/s/public/s4608490.jpg,穿越
124,慶餘年 卷4 北齊來使,貓膩 / 紫宸社 / 2008-11-3,8.0,117,https://book.douban.com/subject/5984967/,https://img9.doubanio.com/view/subject/s/public/s4640932.jpg,穿越
